지점,일자,일최고 기온 (℃),일최저 기온 (℃),기온차,일강수량,평균해면기압,평균습도,일사합,일조합
42,2002-02-06,8,-4,12,1.8,1017.4,72,5.11,1.8
42,2002-02-07,10,-2.9,12.9,,1020.7,49,11.63,8.7
42,2002-02-08,4.8,-3.4,8.2,0,1017.2,63,1.18,0.7
42,2002-02-09,2.5,-9,11.5,,1022,38,11.56,7.5
42,2002-02-10,3.1,-4.1,7.2,0,1018.1,45,10.27,5.8
42,2002-02-11,2.5,-9.8,12.3,0,1018.8,47,9.87,7
42,2002-02-12,4,-10.9,14.9,,1022.3,43,12.05,6.6
42,2002-02-13,6.1,-8.4,14.5,,1025.5,49,14.01,8.8
42,2002-02-14,7,-9.1,16.1,,1030.8,49,13.93,8.9
42,2002-02-15,8.1,-9,17.1,,1029.4,55,13.84,8.9
42,2002-02-16,4.7,-6.9,11.6,,1024.7,71,5.57,0.1
42,2002-02-17,4.3,-3,7.3,2.8,1016.8,77,1.05,0
42,2002-02-18,2.8,-8.1,10.9,,1025.4,47,15.11,9.2
42,2002-02-19,5.9,-9.5,15.4,,1030.8,51,14.2,9.1
42,2002-02-20,9,-8.1,17.1,,1029.9,61,13.06,8.5
42,2002-02-21,6.6,-4,10.6,0,1025.2,75,5,0.2
42,2002-02-22,11.1,-1.9,13,,1024.8,63,10.56,5.7
42,2002-02-23,11.6,-4.8,16.4,,1023.6,57,13.51,8.7
42,2002-02-24,12.7,-4.7,17.4,,1025.6,55,15.3,9.2
42,2002-02-25,10,-1.7,11.7,,1023.3,54,9.87,3.5
42,2002-02-26,12.5,-1.5,14,,1020.8,56,11.58,7
42,2002-02-27,12.8,0.1,12.7,,1018.3,61,10.25,4.4
42,2002-02-28,15.5,0.7,14.8,,1019.6,56,13.48,8.8
42,2002-03-01,15.4,-2.6,18,,1024,59,11.37,5.9
42,2002-03-02,12.4,-2.2,14.6,,1024.5,59,10.25,3.6
42,2002-03-03,11,-0.8,11.8,,1024.3,54,12.23,5.9
42,2002-03-04,10.9,-4.8,15.7,,1024.1,52,13.42,7.3
42,2002-03-05,4.9,1.4,3.5,3,1014.3,72,4.47,0
42,2002-03-06,4,-1.2,5.2,2.1,1010.3,67,4.4,0.5
42,2002-03-07,6.5,-6.6,13.1,,1020.5,48,17.39,9.4
42,2002-03-08,10.2,-6.3,16.5,,1027.2,57,16.63,9.3
42,2002-03-09,15.6,-3.2,18.8,,1022.6,60,13.12,6.4
42,2002-03-10,16.4,3.4,13,1.5,1016.8,48,16.08,8.5
42,2002-03-11,15.4,-2.9,18.3,,1019.4,46,16.41,9.2
42,2002-03-12,18.4,-1.9,20.3,,1020.7,56,15.65,8.9
42,2002-03-13,19.9,0.2,19.7,,1020.7,51,14.5,7.9
42,2002-03-14,11.7,2.5,9.2,0,1011,58,3.18,0
42,2002-03-15,16.4,4.4,12,0.1,1007.7,62,10.18,3.9
42,2002-03-16,15.9,-0.4,16.3,,1014.5,49,15.24,7.1
42,2002-03-17,16.2,5.4,10.8,,1015,34,15.23,6.8
42,2002-03-18,14.1,0.6,13.5,,1017.5,36,15.48,8.4
42,2002-03-19,16.8,1.2,15.6,,1015.6,40,11.3,5.8
42,2002-03-20,20.7,-2.6,23.3,,1013.1,48,13.88,6.3
42,2002-03-21,18.2,6.5,11.7,15,1005.3,43,8.07,0
42,2002-03-22,11.6,4.4,7.2,0,1006.6,35,10.54,3.4
42,2002-03-23,9.6,2.1,7.5,,1013,31,13.26,5.7
42,2002-03-24,11.5,-4.2,15.7,,1019.5,45,18.85,9.9
42,2002-03-25,15.2,-2.9,18.1,0,1019.4,59,14.79,5.8
42,2002-03-26,14.7,1.5,13.2,,1014.1,63,10,1.7
42,2002-03-27,18.2,1.4,16.8,,1015.3,54,19.54,10.1
42,2002-03-28,20.4,0.7,19.7,,1015.8,51,17.72,7.7
42,2002-03-29,20.6,6.2,14.4,,1010.5,58,16.9,7.4
42,2002-03-30,13.8,3.9,9.9,15,1011.6,81,4.67,0.9
42,2002-03-31,19.3,7.3,12,,1012.9,71,14.66,6.3
42,2002-04-01,22.6,3.2,19.4,,1016.4,58,18.68,9.7
42,2002-04-02,25.4,4,21.4,,1012,50,19.57,10.2
42,2002-04-03,19.3,5.3,14,,1014.5,43,21.12,10.2
42,2002-04-04,24.4,0.6,23.8,,1018.1,41,21.47,10.4
42,2002-04-05,27.3,3.4,23.9,0,1014.6,36,19.58,9.4
42,2002-04-06,19.1,9.8,9.3,34,1006,89,1.34,0
42,2002-04-07,14.6,9.8,4.8,,1009.6,78,4.6,0.2
42,2002-04-08,14.4,7.1,7.3,,1010.8,40,14.71,4.1
42,2002-04-09,12.1,3.8,8.3,0.1,1014.4,47,13.35,3.3
42,2002-04-10,14.8,0,14.8,,1018.1,54,16.39,8.4
42,2002-04-11,15.7,0.9,14.8,,1018.4,57,15.08,5.3
42,2002-04-12,17.4,0.1,17.3,5,1013.2,67,12.8,5.9
42,2002-04-13,18.1,8,10.1,,1011.7,55,18.84,8.8
42,2002-04-14,27.3,5.9,21.4,,1010.3,46,20.93,10
42,2002-04-15,26.6,15.6,11,0,1009.4,60,13.45,4.9
42,2002-04-16,19.6,13.2,6.4,16.5,1003.8,83,2.32,0
42,2002-04-17,14.8,8.5,6.3,0.2,1011.7,32,19.68,8.2
42,2002-04-18,20,2.1,17.9,,1018.7,42,23.71,11.8
42,2002-04-19,20.8,2.4,18.4,,1021.8,47,20.19,11.1
42,2002-04-20,24.1,1.1,23,,1015.1,43,21.83,10.9
42,2002-04-21,27.5,4.1,23.4,,1011.8,54,22.13,10.3
42,2002-04-22,30.4,9.9,20.5,,1013.2,57,22.32,11.4
42,2002-04-23,26.3,12.5,13.8,,1011.2,65,17.6,7.4
42,2002-04-24,17.6,5.3,12.3,,1015.6,43,23.68,10.4
42,2002-04-25,19.4,0.7,18.7,,1022.5,49,24.88,12.3
42,2002-04-26,22.3,2.9,19.4,,1023.9,42,24.3,11.6
42,2002-04-27,23.3,6,17.3,,1022.6,39,24.02,11.2
42,2002-04-28,25.3,6.7,18.6,,1020.3,42,23.63,10.7
42,2002-04-29,15.1,11.2,3.9,52.5,1012.7,82,1.72,0
42,2002-04-30,16.2,10.5,5.7,35.5,1010.3,82,1.32,0
42,2002-05-01,23.9,6.6,17.3,,1017.3,52,25.75,12.5
42,2002-05-02,27.8,6,21.8,1,1017.7,48,23.68,10.1
42,2002-05-03,19.7,13.3,6.4,7.5,1015.6,81,8.65,0
42,2002-05-04,28.6,14.1,14.5,,1016.3,61,23.06,10.2
42,2002-05-05,25.7,9.6,16.1,,1018.1,55,20.92,10.2
42,2002-05-06,21.5,9.5,12,1.5,1017.7,58,11,0.4
42,2002-05-07,12.7,10.6,2.1,22,1013.1,82,3.29,0
42,2002-05-08,23.9,9.5,14.4,,1017.5,64,26.42,12.3
42,2002-05-09,25.8,11.5,14.3,,1016.7,67,20.47,6.2
42,2002-05-10,23.9,13.4,10.5,,1013.5,60,14.57,2.6
42,2002-05-11,27.3,11.2,16.1,,1015.1,59,24.66,11.3
42,2002-05-12,24.7,12.3,12.4,,1018.1,67,14.06,2.2
42,2002-05-13,27.8,12,15.8,,1017.5,67,22.16,8.8
42,2002-05-14,27.6,13.4,14.2,,1014.4,70,15.6,3.7
42,2002-05-15,21.3,14.3,7,4,1011,66,7.83,0
42,2002-05-16,16.5,11.9,4.6,8,1011.4,79,2.65,0
42,2002-05-17,17.6,11.4,6.2,1,1010.7,77,9.04,0
42,2002-05-18,23.9,10.8,13.1,5,1007.8,72,20.83,6.9
42,2002-05-19,23.6,12.3,11.3,0.1,1006.7,71,23.35,9
42,2002-05-20,28.9,11.7,17.2,,1008.1,64,22.22,9.2
42,2002-05-21,28.1,11.3,16.8,,1009.1,55,20.89,8.5
42,2002-05-22,28.3,14.6,13.7,,1007.1,52,22.49,10.5
42,2002-05-23,28.4,13,15.4,,1007.4,48,26.86,12.6
42,2002-05-24,28.7,9.7,19,,1006.5,46,26.58,12.7
42,2002-05-25,27.9,10.5,17.4,,1006.1,48,24.35,12
42,2002-05-26,23.6,11.3,12.3,2,1008.2,65,18.26,8
42,2002-05-27,24.6,10.7,13.9,,1011.4,67,20.1,6.9
42,2002-05-28,26.3,10.2,16.1,,1011,57,24.37,12.3
42,2002-05-29,28.1,9.8,18.3,,1010.1,55,23,10.7
42,2002-05-30,26.5,13.2,13.3,3.5,1005.5,71,16.39,4.1
42,2002-05-31,27.6,17.1,10.5,,1003.1,64,22.64,8.7
42,2002-06-01,27.9,16.7,11.2,,1004.1,59,21.12,9.8
42,2002-06-02,30.4,13.4,17,,1007.2,57,26.43,12.8
42,2002-06-03,30.9,14.5,16.4,,1008.4,55,24.05,10.1
42,2002-06-04,29.2,18.4,10.8,,1009.8,62,16.38,4.3
42,2002-06-05,30.9,16.5,14.4,,1010.6,65,17.47,6.2
42,2002-06-06,33.2,18.6,14.6,,1010.6,64,19.82,9.1
42,2002-06-07,33.2,18.1,15.1,,1010.4,56,22.8,11.6
42,2002-06-08,28.7,16.6,12.1,,1010.3,64,17.24,6
42,2002-06-09,30.6,16,14.6,,1009.6,62,23.08,7.9
42,2002-06-10,26.2,19.3,6.9,25,999.4,75,7.54,0.1
42,2002-06-11,27.7,15,12.7,,998.7,59,23.97,9.8
42,2002-06-12,22.8,11.1,11.7,7.5,1002.7,77,8.29,3.8
42,2002-06-13,24.1,17.1,7,0,1003.2,71,14.47,3.2
42,2002-06-14,25.6,15.1,10.5,,1006.3,65,15.15,5.5
42,2002-06-15,24.4,14.3,10.1,0.1,1008.9,73,14.8,4.4
42,2002-06-16,28.1,16,12.1,,1009.1,67,23.92,10.2
42,2002-06-17,30.2,15.1,15.1,,1007.6,67,23.57,10
42,2002-06-18,30.7,16,14.7,,1006.3,64,23.01,11
42,2002-06-19,28.7,18.4,10.3,23.5,1004.8,70,13.88,2.6
42,2002-06-20,28,19.2,8.8,16.5,1000.9,76,17.25,6.3
42,2002-06-21,30,17.7,12.3,,1004.2,63,25.73,10.5
42,2002-06-22,25.9,16.2,9.7,,1011.8,60,22.7,8.1
42,2002-06-23,20.1,16.6,3.5,2,1012.7,75,3.04,0
42,2002-06-24,17.8,15.2,2.6,5,1010.2,74,4.67,0
42,2002-06-25,23.1,12.4,10.7,,1012.2,62,19.05,7.1
42,2002-06-26,28.1,9.8,18.3,,1013.6,60,28.76,13.2
42,2002-06-27,30.2,12.5,17.7,,1013.2,60,27.92,13
42,2002-06-28,31.2,15.9,15.3,,1011.9,60,25.85,11
42,2002-06-29,32.6,16.4,16.2,,1009,49,27.39,12.9
42,2002-06-30,30.9,16.3,14.6,0,1007.9,63,18.44,7.4
42,2002-07-01,29.7,20.6,9.1,,1008.9,68,18.5,6.2
42,2002-07-02,30.9,21.5,9.4,0.5,1010.2,74,17.78,6.1
42,2002-07-03,34.3,21.1,13.2,,1011.6,68,24.59,10.4
42,2002-07-04,34.8,21.4,13.4,,1011.4,68,23.05,10
42,2002-07-05,26.4,21,5.4,42,1006.3,86,3.34,0
42,2002-07-06,23.1,20.2,2.9,23,991.2,81,5.18,0
42,2002-07-07,25.8,19.7,6.1,2.5,998.7,75,8.56,1.4
42,2002-07-08,29.8,19,10.8,,1005.3,67,18.6,7.7
42,2002-07-09,31.1,21.1,10,,1003.3,62,25.78,10.5
42,2002-07-10,30,19.3,10.7,,999.1,63,26.53,12.3
42,2002-07-11,31.7,17.1,14.6,,999,65,22.11,8.4
42,2002-07-12,30.6,20.4,10.2,,1001.5,66,18.28,6.2
42,2002-07-13,26.9,22,4.9,10.5,1002,84,6.52,0
42,2002-07-14,25,22.8,2.2,49.5,998.9,91,1.81,0
42,2002-07-15,31.2,22.5,8.7,0.1,995.7,79,14.57,5
42,2002-07-16,30,21.8,8.2,1,995.2,73,15.57,3.5
42,2002-07-17,28.5,20.9,7.6,8.5,998.7,83,9.89,1.3
42,2002-07-18,29.7,20.3,9.4,,1003.9,68,19.91,6.7
42,2002-07-19,22.7,19.2,3.5,22,1003.8,88,2.06,0
42,2002-07-20,28.5,19.1,9.4,,1008.6,77,16.42,4.2
42,2002-07-21,30.7,21.3,9.4,0.5,1007.7,80,14.11,2.5
42,2002-07-22,28,21.8,6.2,17,1008.3,86,6.81,0
42,2002-07-23,23.1,21.5,1.6,36,1008.2,91,1.92,0
42,2002-07-24,27.1,20.9,6.2,1.5,1007.7,89,3.4,0
42,2002-07-25,34.1,22.7,11.4,,1005.2,73,22.26,8.8
42,2002-07-26,30,21.8,8.2,0,1007.3,70,13.33,1.6
42,2002-07-27,31.9,23.4,8.5,,1012.7,67,22.28,10.3
42,2002-07-28,35.7,22.2,13.5,,1012.4,70,24.44,12.2
42,2002-07-29,35,25.3,9.7,,1010,71,21.38,8
42,2002-07-30,32.7,26.3,6.4,0,1009.6,73,13.01,3.9
42,2002-07-31,31.9,24.9,7,,1011.1,75,12.21,1
42,2002-08-01,29.6,25.7,3.9,,1011.5,71,9.92,3.2
42,2002-08-02,31.6,25,6.6,0,1009.6,71,13.83,3.3
42,2002-08-03,31.3,23.6,7.7,7,1007.7,77,13.16,4.5
42,2002-08-04,28.1,22.5,5.6,9.5,1005.3,84,6.47,0
42,2002-08-05,28.6,22.8,5.8,109.9,1003,84,3.19,0.1
42,2002-08-06,23.6,20.5,3.1,81.5,1006.3,92,1.02,0
42,2002-08-07,21.9,20,1.9,77,1002.6,93,0.5,0
42,2002-08-08,31.5,21.2,10.3,0.5,1003,76,18.97,5.4
42,2002-08-09,30,20.8,9.2,0.5,1006.2,74,13.65,2.8
42,2002-08-10,23.2,19.9,3.3,7,1010.6,87,3.38,0
42,2002-08-11,24.9,18.5,6.4,6,1015,76,10.71,0
42,2002-08-12,23.2,17.6,5.6,2,1015.6,80,6.61,0
42,2002-08-13,27.6,19.3,8.3,,1012,80,12.78,2.1
42,2002-08-14,28.3,20.2,8.1,0,1010.1,78,11.55,1.3
42,2002-08-15,29.9,19.9,10,,1008.2,77,16.46,4
42,2002-08-16,25.5,20.3,5.2,0,1010.1,81,5.62,0
42,2002-08-17,25.6,21.4,4.2,0.2,1009.9,84,5.96,0
42,2002-08-18,28.9,21.9,7,0,1010,72,8.74,0.1
42,2002-08-19,28.3,19.5,8.8,,1011.6,69,13.27,1.5
42,2002-08-20,29.5,16.1,13.4,,1012.8,68,22.47,11.8
42,2002-08-21,28.4,19.6,8.8,,1011.5,79,12.07,1.9
42,2002-08-22,26.7,21,5.7,8,1008.8,87,5.63,0.2
42,2002-08-23,29.8,21.2,8.6,24,1004.5,87,9.45,2.1
42,2002-08-24,31.3,20.5,10.8,,1005.7,77,18.54,7.6
42,2002-08-25,31.6,20.8,10.8,,1007.7,76,18.65,7
42,2002-08-26,30.5,22.6,7.9,4.5,1007.6,80,13.42,3.5
42,2002-08-27,25.3,22.3,3,39,1005.6,91,1.45,0
42,2002-08-28,31.2,21,10.2,,1010.4,78,19.64,8.2
42,2002-08-29,32.2,23,9.2,,1010.4,78,14.84,4.4
42,2002-08-30,27.8,22.4,5.4,0.1,1008.5,82,5.51,0.1
42,2002-08-31,24.4,20.5,3.9,36.5,1002.7,82,1.27,0
42,2002-09-01,24.9,19.2,5.7,39,999,81,4.94,0
42,2002-09-02,30.3,18.9,11.4,,1011.1,81,17,7.4
42,2002-09-03,32.2,22.2,10,,1013.5,78,16.22,6.9
42,2002-09-04,28.7,21.1,7.6,,1015.2,73,12.61,2.4
42,2002-09-05,22.9,19.7,3.2,,1013.6,76,2.21,0
42,2002-09-06,24.9,15.7,9.2,,1016.3,62,13.06,2.8
42,2002-09-07,27.7,13.4,14.3,,1017,64,21.54,11.8
42,2002-09-08,29.3,13.5,15.8,,1013.8,73,20.38,11.1
42,2002-09-09,29.8,17.8,12,,1010.8,71,17.37,7.8
42,2002-09-10,29.6,15.3,14.3,,1012.6,71,20.33,11.5
42,2002-09-11,30.4,16.5,13.9,,1013,76,16.8,7.4
42,2002-09-12,20.7,15.2,5.5,8.5,1015.4,86,0.55,0
42,2002-09-13,24.9,15.8,9.1,,1015.7,74,13.28,2.9
42,2002-09-14,24.7,16.6,8.1,0,1016.5,77,11.68,2.8
42,2002-09-15,20.5,15.9,4.6,,1016.9,84,4.52,0
42,2002-09-16,22,13.4,8.6,,1014.6,76,5.55,0.3
42,2002-09-17,26.6,10.8,15.8,,1018.6,68,19.69,11.1
42,2002-09-18,26.7,10.8,15.9,,1022.2,77,16.47,6.2
42,2002-09-19,26.1,14.6,11.5,,1021.6,82,11.92,3.8
42,2002-09-20,24.6,13.1,11.5,,1019,80,11.48,3
42,2002-09-21,23.7,14.6,9.1,0.5,1016.3,81,9.04,0.3
42,2002-09-22,25,11.5,13.5,,1012.9,70,16.28,6.8
42,2002-09-23,25.4,10.2,15.2,,1012.6,76,16.64,7.3
42,2002-09-24,26.2,10.7,15.5,,1017.4,76,14.49,6.8
42,2002-09-25,26.1,11.5,14.6,,1021,77,15.42,8.7
42,2002-09-26,26.3,13.9,12.4,,1020.1,80,12.72,5.8
42,2002-09-27,25.1,13.6,11.5,,1017.3,72,14.84,6.3
42,2002-09-28,26.9,11.3,15.6,,1013.3,70,16.61,8.6
42,2002-09-29,24.4,15.6,8.8,7,1012.5,77,12.64,4.7
42,2002-09-30,24.2,15.6,8.6,,1013.1,78,10.86,2.2
42,2002-10-01,24,14.2,9.8,,1008.9,82,9.78,3.6
42,2002-10-02,20.6,8.7,11.9,5.5,1008.7,72,12.12,6.1
42,2002-10-03,19.1,7,12.1,13,1011.5,84,6.64,3
42,2002-10-04,22,6.1,15.9,,1017,77,15.94,7.5
42,2002-10-05,19.7,8.2,11.5,2.5,1015.6,80,8.39,1.9
42,2002-10-06,19.5,9.4,10.1,20,1010.1,83,6.55,0.6
42,2002-10-07,19.2,7.6,11.6,,1014.4,69,15.48,7
42,2002-10-08,17.4,4.3,13.1,,1022.6,73,14.76,7.9
42,2002-10-09,19.6,5.6,14,,1027.8,76,14.98,7.2
42,2002-10-10,21.3,6.4,14.9,,1026.8,76,14.39,6.1
42,2002-10-11,22.9,8.2,14.7,,1021.1,78,12.62,6
42,2002-10-12,22.7,10.6,12.1,,1016.9,83,8.7,3.9
42,2002-10-13,24.5,11.2,13.3,0.3,1015,80,12.27,6.7
42,2002-10-14,21.3,8.8,12.5,0,1014.8,78,10.04,4.5
42,2002-10-15,19.7,8.4,11.3,3.5,1012,74,10.28,4.9
42,2002-10-16,20.4,6.8,13.6,,1019.1,79,11.38,6
42,2002-10-17,22.8,10,12.8,,1019.1,82,10.27,5.4
42,2002-10-18,20.2,11.1,9.1,,1017.7,77,4.9,0
42,2002-10-19,16.5,12.5,4,,1020.4,61,6.35,0.3
42,2002-10-20,15.9,11.2,4.7,0,1020,64,5.26,0
42,2002-10-21,15.1,4.1,11,1,1016.3,68,4.37,1.8
42,2002-10-22,10.5,-0.5,11,,1020.2,63,12.54,6.1
42,2002-10-23,11.2,-2.4,13.6,,1021,71,11.01,5.2
42,2002-10-24,16.7,-0.4,17.1,0,1021.5,62,12.36,6.5
42,2002-10-25,15.3,2.9,12.4,3.5,1022.9,75,7.21,2.2
42,2002-10-26,11.4,4.1,7.3,21,1014.6,63,10.88,5.9
42,2002-10-27,8.7,0.7,8,,1015.6,40,14.51,8.8
42,2002-10-28,8.3,-1.6,9.9,,1019,42,13.83,8.7
42,2002-10-29,12,-4.4,16.4,,1024.6,63,14.17,8.8
42,2002-10-30,12.1,-3.2,15.3,,1028.1,69,9.84,5.1
42,2002-10-31,18.2,1.1,17.1,,1021.7,57,12.16,8.4
42,2002-11-01,10.9,-0.8,11.7,,1018.4,49,13.79,8.9
42,2002-11-02,10.2,-5.6,15.8,,1015.9,52,13.63,8.6
42,2002-11-03,8.8,-0.4,9.2,,1014,44,12.95,8.5
42,2002-11-04,6.3,-4.4,10.7,,1020.7,40,13.21,8.8
42,2002-11-05,10.5,-7.5,18,,1027.1,51,13.49,8.8
42,2002-11-06,13.1,-2.9,16,,1027.6,63,9.15,5.4
42,2002-11-07,16.3,3.5,12.8,6.5,1015.2,71,2.94,0.1
42,2002-11-08,7.2,-2,9.2,0,1015.6,50,3.12,0.2
42,2002-11-09,6.1,-6.5,12.6,,1020,51,12.97,8.9
42,2002-11-10,11.7,-0.6,12.3,,1018,66,6.54,1.4
42,2002-11-11,18.6,7.8,10.8,0,1009.5,56,4.01,0.5
42,2002-11-12,8.6,3.1,5.5,,1017.6,29,9.94,7.8
42,2002-11-13,5.8,-4.3,10.1,,1018.6,37,11.69,8.7
42,2002-11-14,6.9,-5.8,12.7,0.1,1016,67,8.64,5.1
42,2002-11-15,5.3,-7,12.3,,1020.8,55,10.21,8.1
42,2002-11-16,7.5,-7.7,15.2,,1024.9,59,11.66,8.3
42,2002-11-17,3.2,-2.9,6.1,6.7,1021.5,74,0.47,0
42,2002-11-18,3,-7.1,10.1,,1029.3,54,11.34,8.4
42,2002-11-19,3.4,-9.6,13,,1032.3,75,9.11,5.6
42,2002-11-20,4.4,-0.8,5.2,0.5,1029.2,81,2.26,0
42,2002-11-21,5.8,-2.2,8,,1029.7,73,8.88,6.8
42,2002-11-22,10.2,-5.1,15.3,,1027.8,75,9.95,7
42,2002-11-23,11.2,-3.7,14.9,,1023.9,77,9.8,7.6
42,2002-11-24,8.6,-0.4,9,,1019.4,79,4.37,0.2
42,2002-11-25,6,-2.2,8.2,,1019.2,80,4.63,0
42,2002-11-26,2.8,-4.4,7.2,0,1019.3,75,3.55,0.1
42,2002-11-27,5.4,-7.4,12.8,,1024.2,46,11.04,8.4
42,2002-11-28,6.1,-7.4,13.5,,1027.2,64,8.46,6.3
42,2002-11-29,5.6,1.3,4.3,0.5,1023.6,83,0.35,0
42,2002-11-30,9,-3.7,12.7,,1023.5,76,7.72,5.4
42,2002-12-01,7.7,-6.2,13.9,,1024,72,8.52,6.6
42,2002-12-02,11.2,-4,15.2,,1027.6,74,8.63,7.9
42,2002-12-03,7.3,-3.5,10.8,,1023.9,78,5.04,2.3
42,2002-12-04,16.6,2.5,14.1,,1015.8,65,8.59,7.3
42,2002-12-05,11.9,4.2,7.7,,1020.6,71,3.54,0
42,2002-12-06,9.8,2.9,6.9,,1025.1,68,4.71,0.3
42,2002-12-07,7.2,2.2,5,0,1026.2,67,2.67,0
42,2002-12-08,3.3,0.2,3.1,7.5,1025.3,81,2.67,0
42,2002-12-09,0.4,-8,8.4,1.2,1025.5,58,7.75,4.7
42,2002-12-10,-4.6,-14.4,9.8,,1027.7,57,10.21,8.2
42,2002-12-11,-1.6,-14.4,12.8,,1029.2,57,10.41,8.2
42,2002-12-12,0.2,-13,13.2,,1031.9,65,9.3,8
42,2002-12-13,0.4,-12.5,12.9,,1036.5,70,9.21,7.4
42,2002-12-14,1.8,-10.6,12.4,,1035,76,7.33,6.3
42,2002-12-15,5.7,-6.5,12.2,,1028.5,79,6.06,3.8
42,2002-12-16,5.9,1.3,4.6,8.5,1016.4,88,0.11,0
42,2002-12-17,4.3,-1.5,5.8,,1025.3,83,2.35,0
42,2002-12-18,7.9,-1.3,9.2,,1024.5,80,6.64,4.7
42,2002-12-19,9.7,-3.1,12.8,,1028.2,72,8.71,7.3
42,2002-12-20,8.5,-5.1,13.6,,1030,72,9.05,7.5
42,2002-12-21,10,-3.2,13.2,,1027.2,72,7.8,7.6
42,2002-12-22,8.7,-1,9.7,,1028.2,68,6.5,3.1
42,2002-12-23,4.5,0.8,3.7,7,1024.7,82,1.25,0
42,2002-12-24,4.3,0.6,3.7,1.8,1021.7,75,3.28,0.5
42,2002-12-25,1.9,-3.7,5.6,1.3,1022.8,67,2.49,0
42,2002-12-26,-2.6,-10.2,7.6,,1028.4,55,9.69,8.2
42,2002-12-27,-0.9,-12.7,11.8,,1029.7,68,10.01,8.2
42,2002-12-28,0.5,-11.3,11.8,0.5,1023.1,81,4.6,0.7
42,2002-12-29,2.1,-10.2,12.3,,1025.7,72,9.15,8.2
42,2002-12-30,0.7,-11.4,12.1,,1024.8,74,6.91,4.4
42,2002-12-31,1.7,-7.7,9.4,0,1024.3,75,8.11,6.2
42,2003-01-01,0.4,-10.1,10.5,,1027.9,63,7.72,6.2
42,2003-01-02,0.4,-13,13.4,,1031.7,62,9.36,7.1
42,2003-01-03,-1.1,-7.8,6.7,2.7,1020.2,70,4.52,2.6
42,2003-01-04,-6.8,-13.8,7,0,1022,56,7.99,6.4
42,2003-01-05,-8.6,-17.7,9.1,,1031.2,47,9.95,8.1
42,2003-01-06,-6,-19.7,13.7,,1034.3,62,10.11,7.9
42,2003-01-07,-2.2,-16.8,14.6,0,1032.7,67,8.62,6.8
42,2003-01-08,0.1,-14.5,14.6,0,1030.7,71,8.34,6.7
42,2003-01-09,1.9,-12,13.9,,1025.1,81,4.96,3.4
42,2003-01-10,1.2,-9.1,10.3,,1021.7,83,5.11,0.8
42,2003-01-11,-0.3,-8.2,7.9,,1021.9,85,3.74,2.4
42,2003-01-12,4.1,-8.8,12.9,,1020.9,79,5.09,2.3
